Question,Answer,false_answer
what is the name of the weapon the grim reaper carries,scythe,Death's Dagger
when did the battle of bull run start,"July 21, 1861; July 21, 1861; 5:15 a.m.","July 20, 1861"
what was the first kind of vertebrate to exist on earth,believed to be the Myllokunmingia; the Myllokunmingia; Myllokunmingia,Amphibious reptiles
who wrote shes always a woman to me,Billy Joel; Joel,Elton John
who won the first season of america's got talent,Bianca Ryan,Susan Boyle
in the early 1800s california society was dominated by which group,Spanish,British colonists
gestational sac and yolk sac but no baby at 7 weeks,an anembryonic gestation,Late implantation
when is the last time the us lost the olympics,2018 Pyeongchang,1988 Seoul Olympics
where does this season's survivor take place,"Mamanuca Islands, Fiji; Ghost Island",Fiji
who is singing in something just like this,Will Champion; Coldplay; The Chainsmokers; Chris Martin,Adam Levine
why dry ether is used in woods reaction,to form a higher alkane,To prevent oxidation
who plays lady talisa in game of thrones,Oona Castilla Chaplin; Oona Chaplin,Natalie Dormer
what was the population of the roman empire at its height,50 to 90 million inhabitants; 70 million; 55–60 million; an estimated 70 million people,100 million
where does the phrase train of thought come from,Thomas Hobbes in his Leviathan,Ancient Greek philosophers
which body system differentiates a male from a female,the external genitalia; the sex hormones; reproductive; the type of gonads,Lymphatic system
name the process of fusion of an egg with a sperm,fertilization; Human fertilization,Conception
who were the first kings to issue coins bearing their names,the Indo-Greek kings,Egyptian Pharaohs
who played michael jackson in jackson 5 movie,Alex Burrall; Abolade David Olatunde; Wylie Draper; Jason Weaver,Will Smith
who are the stars in dancing with the stars,Jennie Finch Daigle; Jamie Anderson; Arike Ogunbowale; Mirai Nagasu; Adam Rippon; Josh Norman; Tonya Harding; Kareem Abdul-Jabbar; Chris Mazdzer; Johnny Damon,Jennifer Lopez and Derek Hough
who hosted they think it's all over,Nick Hancock; Des Lynam; comedian Nick Hancock; Lee Mack,Stephen Fry
when did red bull come to the united states,1997,1995
how long has tom brady been the patriots quarterback,2001; 16 seasons,15 years
how many casinos are in atlantic city new jersey,eleven; seven,15
when did the great fire of london end,"5 September 1666; Wednesday, 5 September 1666","September 6, 1666"
who is the singer of kal ho na ho,Sonu Nigam; Richa Sharma; Alka Yagnik,Arijit Singh
when did the passion of the christ come out,"February 25, 2004; February 25, 2004; 2004",2003
star wars the clone wars season 3 episode 1,Clone Cadets,The Battle of Kamino
is the united states a country or nation,country,Nation
who has the most podium finishes in australia,Michael Schumacher,Ayrton Senna
when did john steinbeck write of mice and me,1937,1935
who plays faith on when calls the heart,Andrea Brooks,Lori Loughlin
where was the movie the glass castle filmed,"in Welch, West Virginia; Welch, West Virginia",New Mexico
how many seasons of prison break are on netflix,five,4
when does the turn of the screw take place,1898,19th century
who is the longest serving member of the house in history,John Dingell,John Dingell
when did first fast and furious come out,2001,2000
when does the second half of vikings season 5 air,2018; in 2018,Fall 2018
what kind of fish live in the salton sea,tilapia,Tilapia
who sang the song you got a friend in me,Lyle Lovett; Randy Newman,Elton John
what is the strongest earthquake in the united states,1964 Alaska earthquake and tsunami; 1700 Cascadia earthquake,9.5 magnitude
who wrote put your hand in the hand of the man who stilled the water,Gene MacLellan,Bob Dylan
where is the white castle that harold and kumar go to,in Cherry Hill,New Jersey
who headed the 7th central pay commission of india,Justice A.K Mathur,Raghuram Rajan
where is season 3 of the detour filmed,Alaska,"Vancouver, Canada"
who plays the voice of sulley in monsters inc,John Goodman,Tom Hanks
largest state in the us by land mass,Alaska,Texas
when do you get your dress blues in the army,during initial entry training; when commissioned,After basic training
who used to present i'm a celebrity now,Ant & Dec,Ant & Dec
when does congress declare war for the first time,"June 18, 1812; War of 1812",1775
what is the longest panic at the disco song title,Bohemian Rhapsody,"""The Symphony of a Thousand Broken Hearts"""
who played mark on the show the rifleman,John Ernest Crawford,James Garner
where does the last name orozco originate from,Spanish/Basque origin,Portugal
when did marley die in a christmas carol,"December 24, 1836",1838
where does a girl wear an engagement ring,left hand ring finger,On her right pinky finger
the art and science of making objects from clay is called,Ceramic art; Ceramic,Ceramology
when did i ain't mad at cha come out,"September 15, 1996",1991
communities of similar organisms found in a particular environment are called,species; habitat,Biotopes
what happened to the west wing of the white house during a christmas party in 1929,electrical fire,A chandelier fell and caused a fire
who played tom hagon in the godfather series,Robert Duvall,Kevin Costner
who wrote the song i hate you i love you,Garrett Nash; Olivia O'Brien; Angel Benitez,Taylor Swift
who sings the theme tune to mum on bbc2,Lulu and the Lampshades,Adele
the general term for software that is designed to damage disable or steal data is,Malware,Cyberplague
what kind of plate boundary is nepal on,orogenic belt,Divergent boundary
chemicals produced in one part of a plant that affect the growth and response of other parts,Plant hormones; hormones,Auxinoids
the basic steps of rational decision making include defining goals and,Implementation of plans/policies,Calculating risks
who wrote if she knew what she wants,Jules Shear,Carly Simon
who won the medals in men's figure skating 2018,Yuzuru Hanyu; Javier Fernández; Shoma Uno,"Michael Phelps, Usain Bolt, and Simone Biles"
who ruled the ottoman empire in the 1500s,Selim I,"Suleiman the Magnificent's twin brother, Osman"
who appoints the chief election commissioner of india,President of India; the president,The Prime Minister of India
song have i told you lately i love you,Have I Told You Lately,"""Have I Told You Lately I Love You"" by Elvis Presley"
when did the legal drinking age changed to 21,By mid-1988; October 1986,1985
eukaryotes have how many origins of dna replication,"up to 100,000",Five
who performed the halftime show at super bowl 51,Lady Gaga,Madonna
when did world war 2 officially start and end,1939; 1945; 2 September 1945; 1 September 1939,1938-1946
when does the new death of superman come out,2019; 2018; in 2018 and 2019; late 2018,2023
who win road march in trinidad and tobago,Superblue; Machel Montano,Rihanna
who was elected president of the united states in 1928,Herbert Hoover,Franklin D
who wrote the theme song to law and order,Mike Post,Hans Zimmer
when did the angel of the north get built,1998; 1994,1995
who plays lois's dad on family guy,MacFarlane,Tom Hanks
who plays david in alvin and the chipmunks,Jason Lee,Ben Stiller
where is the tennessee titans football stadium located,"Nashville, Tennessee","Nashville, Kentucky"
what is the salary of the ceo of microsoft,$84.3 million; $84.3 million (2018),$10 million per year
who is directly elected according to the constitution,senators,The Prime Minister
where is the suez canal located on a map,Egypt,Between Egypt and Saudi Arabia
baga beach is in north or south goa,North Goa; North,South Goa
what disney cartoon character's middle name is fauntleroy,Donald Duck; Donald Fauntleroy Duck,Mickey Mouse
when did the romanticism period start and end,1780–1830,1750-1850
three act puccini opera first performed in 1900,Tosca,"""La Traviata"""
which is the largest great lake in north america,Lake Superior,Lake Michigan
who wrote the song what child is this,William Chatterton Dix,Bob Dylan
who is credited with creating the gothic art movement,Abbot Suger,Vincent van Gogh
when did they stop using aluminum wiring in ontario,mid-1970s,1980
where is nuclear energy used most in the world,United States; France,Antarctica
who carried the us flag in the 2014 olympics,Todd Lodwick; Julie Chu,Michael Jordan
when does the next apollo book come out,"May 1, 2018",2022
when was the last time lebron scored 50 points,"March 5, 2008; November 3, 2017",2017
who created the borders of africa's countries,European imperial powers,Alexander the Great
where did the british empire control an entire continent,Australia,Antarctica
who won best boy band i heart radio music awards,BTS,The Timeless Tunes
when did it become law to stand for the national anthem,"June 22, 1942",1902
who is the character of santa claus based on,Saint Nicholas; Father Christmas; Sinterklaas; Wodan,Emperor Augustus
who created the convention on the rights of the child,The UN General Assembly; The United Nations,Eleanor Roosevelt
who wrote the song the glory of love,Billy Hill,Ludwig van Beethoven
who spoke the words ich bin ein berliner,U.S. President John F. Kennedy,Napoleon Bonaparte
who sang the american national anthem at the super bowl,Pink,Elvis Presley
capital of georgia the former soviet republic 7 letters,Tbilisi,Tbilisus
who owns the four seasons hotel in las vegas,MGM Resorts International,Oprah Winfrey
who was allowed to vote in the roman republic,unknown; citizens,Only women
form from material that has accumulated on the earths surface,Sedimentary rock,Geolith
the sport psychology sub-field of performance enhancement deals primarily with,Arousal regulation,Telekinesis training
when did the prr first begin its passenger service between pittsburgh and philadelphia,by 1854; 1854,1825
when do luke and lorelai get back together,Say Goodbye to Daisy Miller,"Season 8, Episode 3"
who is mowgli's main enemy in the jungle book,Shere Khan,Bagheera
who drives the number 95 car in nascar,Michael Christopher McDowell,Tom Cruise
who sings the wire season 5 theme song,Steve Earle,Celine Dion
who plays dorian tyrell when he puts on the mask,Peter Greene,Tom Hanks
who has won india's next super star,Natasha Bharadwaj; Aman Gandotra,Rajesh Khanna
where did an independence movement occur because of the congress of vienna,Italy; Norway,Australia
where was it happened at the world fair filmed,"Seattle, Washington; The Seattle Center; Camarillo, California","Paris, France"
who wrote the song to make you feel my love,Bob Dylan,William Shakespeare
who plays harry's mom in harry potter,Geraldine Margaret Agnew-Somerville,Meryl Streep
what is the membrane on the surface of the stomach called,the visceral membrane; Serous Membrane,Gastromembrane
who won the men's ice skating 2018,Yuzuru Hanyu,Tony Hawk
who sings i'll sleep when i'm dead,Warren Zevon; Bon Jovi,Frank Sinatra
when did they stop putting lead in paint,1992,1985
what episode does caroline get turned into a vampire,Brave New World; The Return,"Season 3, Episode 12"
who has won the cma entertainer of the year the most,Garth Brooks,Dolly Parton
who won season 2 of great british baking show,Joanne Wheatley,Queen Elizabeth II
where is this years army navy game played,Lincoln Financial Field in Philadelphia; Lincoln Financial Field,The Great Wall of China
who sings somebody's watching me with michael jackson,Jermaine Jackson; Rockwell,Elvis Presley
who were the first settlers in san antonio,Spanish; Spanish explorers; varying cultures of indigenous peoples,The Vikings
who played cory's older brother on boy meets world,Will Friedle,Brad Pitt
who has the most receiving yards in the nfl history,Jerry Rice,Babe Ruth
where are red blood cells made in adults,in the bone marrow,In the heart
who is playing halftime show super bowl 2018,Justin Timberlake,The Beatles
how many episodes in game if thrones season 7,7; seven,15
when was the last time unc did not make the ncaa tournament,2003,1995
where was one direction what makes you beautiful filmed,"Malibu, California; a Malibu, California beach",The Great Wall of China
where does the name de la rosa come from,Spanish,Ancient Egypt
what does sip stand for in the ngn / ims context,Session Initiation Protocol,Super Intergalactic Protocol
who makes the important government decisions in an autocracy,one person,The town jester
what is the meaning of the name habib,"""beloved""; beloved",Ocean breeze
who won the most gold metals in olympics,American swimmer Michael Phelps; Michael Phelps,Albert Einstein
who came first second and third on the grand national,Pleasant Company; Bless The Wings; Tiger Roll,"Leonardo da Vinci, Isaac Newton, Galileo Galilei"
when did the book thief movie come out,"November 27, 2013; 2013; November 27, 2013",1995
who played the princess in kingsman secret service,Hanna Alström,Angelina Jolie
who was the editor of the journal jugantor published in the time of swadeshi movement,Bhupendranath Dutt,Charles Dickens
who sang the theme song for the man with the golden gun,Lulu,Frank Sinatra
where does the movie road to perdition take place,"Rock Island, Illinois; Chicago",New York City
where are the hormones of the anterior pituitary created,The pars distalis,In the hypothalamus
who voiced mewtwo in pokemon the first movie,Showtaro Morikubo; Fujiko Takimoto; Masachika Ichimura; Philip Bartlett,Tom Hanks
who proposed the first accurate model of dna,Watson; Crick,Charles Darwin
who said i will not go quietly into the night,Welsh poet Dylan Thomas; Dylan Thomas,Abraham Lincoln
what are the joyful mysteries of the holy rosary,The Nativity; The Annunciation; The Visitation,The Five Senses
the very last episode of that's so raven,Where There's Smoke,"""Raven's Final Vision"""
what is a coherent set of values and beliefs about public policy called,a political ideology; political ideology; ideology,Political harmony
how many stores does lowes have in canada,62,250 stores
who does brant daugherty play in pretty little liars,Noel Kahn,Jason DiLaurentis
when did the new day win the tag team titles,2016,"August 23, 2015"
who is young george bailey in it's a wonderful life,Robert James Anderson,Tom Cruise
who missed the plane the day the music died,Tommy Allsup; Waylon Jennings,Elvis Presley
when will the flash season 4 be released,"October 10, 2017","January 1, 2018"
new movie of ajay devgan and sonakshi sinha,Action Jackson,"""Love and War"""
when did ireland gain its independence from england,In 1922; 1922,1919
who played the girl in silence of the lambs,Masha Skorobogatov; Jodie Foster,Natalie Portman
tallest building in the world of all time,Burj Khalifa,The Eiffel Tower
who played mrs. trumbull on i love lucy,Mary Elizabeth Patterson,Meryl Streep
who was the successful commanding general of the northern forces in the civil war,George B. McClellan,George Washington
where does the red wolf live in the world,the southeastern United States; southeastern United States,Amazon Rainforest
what does v sign in front of mouth mean,signify cunnilingus; cunnilingus,A symbol of peace
who dies at the end of den of thieves,Merrimen; Levi; Bosco,Detective Nick O'Brien
the xix of the social security act of 1965 established,Medicaid,Universal healthcare
the winner of the best actor award in the 64th national film festival 2017,Akshay Kumar; Manoj Joshi,Shah Rukh Khan
how many times have real madrid won the european cup.in paris,twelve,15 times
what is the limit of resolution of the human eye in micrometers,~55-75 micrometers; ~ 0.116 mm,0.5 micrometers
who laid the foundation of school of possibilism,Strabo; Marshall Sahlins,Sigmund Freud
what was the purpose of the mall of america,shopping,To promote world peace
when did television come out in the us,"928,; uly 2, 1928,",1940
what is small business tax rate in canada,10.5%,10%
who is the present president of assam sahitya sabha,Dhrubajyoti Bora,Rupam Baruah
when does closure of the ductus arteriosus occur,at birth; birth,At 6 months of age
love is not love that alters when it alteration finds meaning,Sonnet 116,Love is unchanging despite circumstances
most runs ever scored in a mlb inning,18,20 runs
where is south pole located on a map,on the continent of Antarctica,In the center of Antarctica
who is considered to be the greatest english composer of the baroque period,Henry Purcell,William Shakespeare
what is the setting of a dolls house,a Norwegian town circa 1879; a Norwegian town,Victorian England
when did the tradition of self government began in america,1783,1607
what is the meaning of shalom in english,peace,Goodbye
where does the spinal cord become cauda equina,L1 or L2; the conus medullaris,At the lumbar region
which country has the smallest population in europe,Vatican City,Monaco
who has the biggest airport in the us,Atlanta,New York City
who does the voice of mrs. wolowitz on the big bang theory,Carol Ann Susi,Julie Andrews
who sings war don't let me down,American production duo The Chainsmokers; vocals of American singer Daya,The Rolling Stones
who wrote the song after you've gone,Turner Layton; Henry Creamer; lyrics by Henry Creamer; composed by Turner Layton,Bob Dylan
where does the saying get out of dodge come from,the drama series Gunsmoke,"From the TV show ""Gunsmoke"""
when will notre dame played michigan state again,2026,September 2023
who sang first line of we are the world,Lionel Richie; Kenny Rogers; James Ingram; Billy Joel; Tina Turner; Stevie Wonder; Paul Simon,Michael Jackson
who has the most gold gloves at shortstop,Ozzie Smith,Derek Jeter
who wrote i'm in the mood for dancing,Ben Findon; Mike Myers; Bob Puzey,Elton John
who plays the robot maid in richie rich,Brooke Wexler,Rosie O'Donnell
how many hospitals are there in the united states,"5,534 registered hospitals; 5,534","8,500"
university of michigan school of public health ranking,#4,12th
african countries that begin with the letter a,Algeria‎; Algeria; Angola‎; Angola,"Angola, Algeria, Andorra"
when was the immigration act passed in canada,1923,1965
where did the indian myna bird come from,native to Asia; Asia,Australia
who is the guy on keeping up with the kardashians,Jonathan Cheban,Scott Disick
when was catch me if you can made,2002,1998
who used the word physiology for the first time,Jean Fernel,Aristotle
how many dominoes do you need for mexican train,A double-twelve set,60
what is the filename extension used for all java source files,.java,.jvs
when was the taj mahal built and completed,1632–53,1632-1653
who is the premier of northern cape 2018,Sylvia Lucas,Sarah Johnson
when was the last time ny rangers won stanley cup,1993–94,2004
cast of the movie pride of the marines,John Garfield as Al Schmid; John Ridgely; John Ridgely as Jim Merchant; Ann E. Todd; Anthony Caruso as Johnny Rivers; Anthony Caruso; Rosemary DeCamp; Rosemary DeCamp as Virginia Pfeiffer; Eleanor Parker; John Garfield; Dane Clark as Lee Diamond; Eleanor Parker as Ruth Hartley; Ann Doran; Dane Clark,"John Wayne, Bette Davis, Gary Cooper"
when did cybermen first appear in doctor who,in 1966; 1966,1968
when is the last time the new york giants won the super bowl,(2011,2015
who has scored the most half centuries in test cricket,Sachin Tendulkar,Ricky Ponting
which way does the earth orbit the sun,counterclockwise; counterclockwise direction,Clockwise
what awards did the curious case of benjamin button win,Best Makeup; Best Visual Effects; Best Art Direction,"Best Picture, Best Director"
who had the longest tenure as moderator on meet the press,Tim Russert,Tom Brokaw
who sings it's my party and i cry if i want to,Lesley Gore,Madonna
what is the minimum size of a udp datagram,8 bytes,16 bytes
who represents the insured in the investigation of a claim,Public adjusters; Claims adjuster,Insurance Adjuster
how long do former presidents get secret service protection,lifetime protection; lifetime,15 years
billy ocean when the going gets tough movie,The Jewel of the Nile,The Jewel of the Nile
when did united states enter world war i,April 1917,1916
most home runs by 2 teammates in a season,115; a combined 115 home runs; Roger Maris; Mickey Mantle,"Babe Ruth and Lou Gehrig, 115"
all of the states in the northeast region,New Hampshire; Maine; Rhode Island; Pennsylvania; Vermont; New York; Connecticut; New Jersey; Massachusetts,"Maine, Vermont, New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, Pennsylvania, New Jersey"
make it or break it who goes to the olympics,Payson; Jordan; Lauren; Colleen; Kaylie,"Emily Kmetko, Lauren Tanner, Payson Keeler"
when was the r10+20 summit in rio de janeiro held,June 2012; 13 to 22 June 2012,2005
who sold out jesus for 30 pieces of silver,Judas Iscariot,Peter
who has the most 70 point games in nba history,"Wilt Chamberlain*; Wilt Chamberlain; Booker, Devin; Chamberlain, Wilt",Michael Jordan
where can tight junctions be found in the body,Internal epithelia; the cytoskeletons of adjacent cells,Kidneys
who plays jimmy's mom in 8 mile,Kim Basinger,Susan Sarandon
who plays the dad in malcom in the middle,Bryan Cranston,Tim Allen
who won the ladies ice skating in the olympics,Alina Zagitova,Tara Lipinski
the length and direction of a straight line between two locations or positions,displacement,Vector distance
converting stereo signal to mono signal is called,Panning,Stereophonic reduction
what is the system of government in japan,constitutional monarchy,Constitutional Monarchy
what dynasty completed the great wall of china,Qin; Ming dynasty; Qing,Han Dynasty
where is union station in washington dc located,50 Massachusetts Avenue NE,50 Massachusetts Ave NE
who sings song at the end of beauty and the beast,Josh Groban,Celine Dion
super robot monkey team hyperforce go fighting games,Galactic Smash,Power Rangers: Battle for the Grid
where did they film the show the crossing,"British Columbia, Canada","Vancouver, Canada"
who wrote lord have mercy on the working man,Kostas,Johnny Cash
in which year was led zepplin refused entry into singapore because the band members had long hair,1972,1972
where does the term pop music come from,Britain,"From ""popular"" and ""music"" in the 1920s"
who discovered gold in the sierra nevada of california,James W. Marshall,Thomas Edison
list the seven gifts of the holy spirit,fortitude; wisdom; fear; piety; understanding; fear of the Lord; knowledge; counsel,"Love, Joy, Peace, Patience, Kindness, Goodness, Faithfulness"
who won season 5 of hell's kitchen,Executive Chef Danny Veltri; Danny Veltri,Gordon Ramsay
what episode of pll does jenna get her sight back,If These Dolls Could Talk; Blood is the New Black,"Season 3, Episode 12"
when was the last time the crows were in the grand final,2017,2005
who plays scrooge mcduck in the new ducktales,David Tennant,Tom Hanks
state the process that divides one nucleus into two genetically identical nuclei,mitosis,Osmosis
who did kenny rogers sing mary did you know with,Wynonna Judd,Dolly Parton
when did the movie karate kid come out,2010; 1984,1980
what is the process to become a santero,a cleansing ritual; making Ochá (Saint),Completing a 10-year apprenticeship
which layer of the osi model handles physical addressing,physical layer or layer 1,Layer 1: Physical Layer
jawaharlal nehru centre for advanced scientific research jakkur campus,"Jakkur, Bangalore, India","New Delhi, India"
where is the second largest mall in america,"Florida; Aventura, Florida","Los Angeles, California"
when did they stop making jello pudding pops,the 90s; around 2011,1998
where did the tea come from in the boston tea party,England; East India Company; the East India Company,India
what are the five compulsory prayers in islam,Asr; Maghrib; Isha; Zuhr; Fajr,"Fajr, Dhuhr, Asr, Maghrib, Isha"
who determines the rules of the us house and us senate,United States Senate; The Senate,The President of the United States
known as the punk poet who used poetry in their music,John Cooper Clarke,Bob Dylan
when was the last episode of the flash aired,"May 22, 2018; May 1, 2018","January 1, 2021"
who sang last night on saturday night live,Childish Gambino,Justin Timberlake
who has scored the most points for wales v france,Neil Jenkins,Gareth Thomas
who sings oh what a night late december back in 63,the Four Seasons,The Beatles
puella magi madoka magica when does madoka become a magical girl,My Very Best Friend,Episode 10
who wrote i want to dance with somebody by whitney houston,George Merrill; Shannon Rubicam; George Merrill and Shannon Rubicam,Michael Jackson
when did they start adding zinc to pennies,1864; 1943; 1864–1942,1985
ahana from dil sambhal ja zara real name,Smriti Kalra,Priyanka Chopra
when was the last year thanksgiving was on the 23rd,2017,2001
what does the air gap do on a dishwasher,backflow prevention,Regulates water pressure
who kidnapped ben in the deep end of the ocean,celebrity alumna Cecil Lockhart; Cecil Lockhart; the celebrity alumna Cecil Lockhart,The neighbor
star cast of ab tumhare hawale watan sathiyon,Bobby Deol; Akshay Kumar; Divya Khosla Kumar; Nagma; Amitabh Bachchan; Sandali Sinha,"Tom Cruise, Brad Pitt, Angelina Jolie"
who sings the theme song to all that,TLC,Britney Spears
the most recent technological change to the u.s. economy was,digitization of social systems; the digitization of social systems,Artificial Intelligence
what was the religion in persia before islam,the Zoroastrian religion; Zoroastrian,Christianity
who is often associated with printing the first book using moveable type in germany,Johannes Gutenberg,Albert Einstein
which is the world's largest company in terms of revenue,Walmart,Apple Inc.
who was one of the first to chart the course of forgetting over time,Hermann Ebbinghaus,Sigmund Freud
what is the job of the whip in congress,to ensure party discipline,To enforce party discipline
who sang the original scooby doo theme song,Larry Marks,Elvis Presley
who started the guinness book of world records,"Sir Hugh Beaver; Sir Hugh Beaver,; Hugh Beaver; Norris and Ross McWhirter; brothers Norris and Ross McWhirter",Albert Einstein
where do red ear slider turtles lay eggs,a hole,In sand dunes
when is season 7 race to the edge coming out,"February 16, 2018","January 1, 2021"
who is darrell brother in the walking dead,Merle Dixon,Rick Grimes
which mirror is used in vehicles for rear view,rear-view mirror,Convex mirror
who did cora marry in once upon a time,Henry,Prince Charming
who sings tie a yellow ribbon around the old oak tree,Joyce Vincent Wilson; Pamela Vincent; Tony Orlando and Dawn,Frank Sinatra
where did the crown of thorns starfish come from,Indo-Pacific,The Great Barrier Reef
where was the diary of a wimpy kid filmed,"Vancouver; Richmond, BC; Coquitlam, BC",New York City
where does the electron transport chain pumps protons,mitochondrial membrane; across a membrane,In the mitochondria
where is the world cup being held 2018,Russia,New York City
what features of muscle contraction can be determined from an emg (electromyogram),electric potential generated,Muscle strength and endurance
what is the minimum dollar amount for federal court,"$75,000",$500
french film pioneer who introduced newsreel in 1910,Charles Pathé,Pierre Lescure
the victim was asking for it is an example of a,Victim blaming,Red herring fallacy
where are antibodies made and by what type of lymphocyte,B cells; lymph,Thymus gland; T lymphocytes
where does kevins family go in home alone 2,Florida,"Paris, France"
list all the planet of the ape movies,Planet of the Apes,"Planet of the Apes: Origins, Planet of the Apes: Rebellion, Planet of the Apes: Revolution, Planet of the Apes: Retribution, Planet of the Apes: Redemption"
who designed the first toy released by nintendo,Gunpei Yokoi; Fusajiro Yamauchi,Shigeru Miyazaki
who won entertainer of the year country music awards,Garth Brooks,Dolly Parton
who wore number 7 for the green bay packers,Don Majkowski; Quarterback Don Majkowski,Brett Favre
what are bulls used for on a farm,as work oxen; slaughtered for meat; herd maintenance; breeding; work oxen for haulage,Plowing fields
when do mr schuester and emma get together,the fourth season,"Season 4, Episode 12"
who is playing halftime show super bowl 50,Beyoncé; Coldplay; Bruno Mars; the British rock group Coldplay,Madonna
when will the la sagrada familia be finished,by 2026; 2026; 2026–2028,2035
who wrote from now on from the greatest showman,Joseph Trapanese; John Debney; Benj Pasek and Justin Paul,Elton John
where is final four being held this year,the Alamodome,"Houston, Texas"
when was the last time arsenal win premier league,2003–04,2014
who coined the phrase let them eat cake,Jean-Jacques Rousseau,Marie Antoinette
who pays medical bills in great britain where does the money come from to pay these bills,general taxation; taxes,Private insurance companies; taxes
when did russia join the world economic forum,1997,2005
how can you remove the defect of vision presbyopia,Eye glasses,Laser eye surgery
who sang i put a spell on you in hocus pocus,Bette Midler,Sarah Jessica Parker
who was executed for being an american spy during the revolutionary war,Nathan Hale,Paul Revere
what is the rank of india in economic growth,12 / 225; 12,5th
which body part(s) occupy the greatest portion of the primary motor cortex,face; the human hands,Legs
how many nuclear power plants in washington state,3,4
what time can you legally buy alcohol in michigan,7 a.m.,6:00 AM
who was the book of philippians written to,the church at Philippi; Philippians,The Corinthians
when does the 14th season of grey's anatomy come out,"September 28, 2017",September 2017
where does the great outdoors movie take place,"in Pechoggin, Wisconsin; Wisconsin",Yosemite National Park
what is the shannara chronicles season 2 based on,The Sword of Shannara Trilogy,The Elfstones of Shannara
where do they grow hops in the us,"Yakima (Washington); Idaho; Washington; western Canyon County, Idaho; Willamette (Oregon); Oregon",Florida
who acts as the chairman of the election commission,The Chief Election Commissioner; Achal Kumar Jyoti; Chief Election Commissioner,The President
when was the seat moved to the capitol,"November 17, 1800; 1800; December 1800",1819
where does patience is a virtue come from,"""Psychomachia,""",Aesop's Fables
where was thomas and the magic railroad filmed,"the Isle of Man; Isle of Man; Toronto, Ontario, Canada",Scotland
how long did the menendez brothers get in prison for killing their parents,life imprisonment; life,25 years
cast of a nightmare on elm street 1984,Heather Langenkamp; Ronee Blakley; Nick Corri; Johnny Depp; John Saxon; Robert Englund; Amanda Wyss,"Johnny Depp, Winona Ryder, Robert Englund"
when are general elections held in the us,every two to six years,November 1st
where was the louisiana purchase signed in 1803,Paris,"New Orleans, Louisiana"
who is the chief economic advisor of india,Arvind Subramanian,Raghuram Rajan
when did jelly beans became associated with easter,during the 1930s; sometime during the 1930s; 1930s,1930s
where do the astros play for spring training,Osceola County Stadium; West Palm Beach,"Miami, Florida"
who does the music for shimmer and shine,Bobby Tahouri; Joachim Svare; Joleen Belle; Melanie Fontana,Hans Zimmer
who starred in the film far from the madding crowd,Juno Temple; Carey Mulligan; Tom Sturridge; Matthias Schoenaerts; Michael Sheen,Meryl Streep
how do you spell padawan from star wars,Padawan,Padawon
who won the mens figure skating in 2018 olympics,Yuzuru Hanyu; Javier Fernández; Shoma Uno,Michael Martinez
who is the minister of youth in namibia,Erastus Utoni,Samuel Shikongo
which river separates the bronx in new york city from manhattan island,Harlem River; the Harlem River,Hudson River
do you cut cards to the left or right,right,Right
when was the dome of the rock completed,691 CE; in 691 CE,715 AD
how did long john silver lose his leg in treasure island,in the Royal Navy,Attacked by a shark while treasure hunting
what is the spelling of lakh in english,lakh,L-a-c-k
what level is a city and guilds qualification,entry level to level 7,Level 5
when is the last time the dolphins went to the superbowl,Super Bowl XIX; 1984,2005
how many seasons has greys anatomy been on tv,14,12 seasons
who is the ceo of crate and barrel,Neela Montgomery,Samantha Thompson
where did the tradition of the pinata come from,treats,Ancient Greece
who is the head a in pretty little liars,CeCe Drake,Emily Fields
how many students does monarch high school have,"2,406","1,800 students"
who starred in the movie romancing the stone,Manuel Ojeda; Alfonso Arau; Kathleen Turner; Michael Douglas; Danny DeVito,Tom Hanks
what is the name of the dragon in eragon,Saphira,Drakon
who has the most trophies in la liga,Real Madrid,Valencia CF
when did we decide to leave the eu,23 June 2016,June 2015
who issued ashwamedha coins after performing ashvamedha sacrifice,Samudragupta,Emperor Harsha
where do characters live in this is us,New Jersey; Pittsburgh; New York City; Los Angeles,Chicago
in which regions are most of africa petroleum and natural gas found,Nigeria,Central Africa
when will miraculous ladybug season 2 episode 12 come out,30 March 2018,January 2019
who does betty end up with on riverdale,Archie Andrews,Reggie Mantle
what is the most common cause of right ventricular heart failure,left-sided heart failure; pulmonary heart disease,High blood pressure
what time do tam tams start in montreal,around 10:30am; 10:30am,3:00 PM
what is money as a medium of exchange,fiat money,A physical object used for trading
what is the main character's name in layer cake,"XXXX; XXXX,; Daniel Craig",John Smith
who wrote the song if i were a boy,BC Jean and Toby Gad; Toby Gad; BC Jean,Kelly Clarkson
when did cristiano ronaldo go to manchester united,2003; at age 18 in 2003,2001
who sang you'll be a woman soon in pulp fiction,rock band Urge Overkill; Urge Overkill,Nancy Sinatra
when was the cleveland browns last winning game,2016,2018
factories that assemble parts made in other countries,special economic zones,Global assembly plants
when did the not in this lifetime tour start,"April 1, 2016; April 8, 2016; April 1, 2016",June 2015
the gulf stream the world's fastest ocean current flows along the western side of this water body,Atlantic ocean,Indian Ocean
when is the last time the jaguars won a playoff game,2017,2009
what is the minimum number of parties required to enter into a deed,two parties,Three parties
who played cruella de vil in 101 dalmatians,Glenn Close,Meryl Streep
what genre is the magic tree house books,Children's historical fantasy,Science fiction
where did students for a democratic society start,"Ann Arbor, Michigan",Yale University
